(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,output per unit medium cost (mg/CNY)
0,41,9,45,51,21,108,244,159,23,6,89,21,6,42,6,6.667484906
0,47,47,0,36,40,96,208,0,79,6,99,10,35,21,11,7.139435437
8,47,9,181,51,21,62,226,91,79,0,89,10,24,17,16,6.028118632
8,41,38,23,36,47,142,208,91,11,6,127,42,0,30,11,5.64643832
0,29,57,68,51,32,130,81,0,57,0,108,14,53,30,46,4.810346428
8,35,9,159,21,40,62,226,45,45,6,127,21,41,38,46,5.658437049
8,24,38,68,25,43,130,244,91,23,0,89,28,0,5,46,5.605997203
0,53,19,159,21,28,153,172,68,68,0,99,21,41,5,11,5.76613006
0,18,57,181,51,40,119,226,68,79,0,89,42,0,26,16,4.777298761
8,12,9,136,21,51,85,226,159,68,6,89,14,41,30,36,5.716760371
0,53,28,23,21,32,96,226,204,68,0,80,38,47,17,16,6.412083254
8,41,38,113,21,28,108,208,45,68,0,89,14,47,17,16,5.951504814
0,41,28,0,40,36,153,172,23,23,0,118,31,53,26,31,8.39344429
0,18,47,181,28,43,96,172,91,0,6,89,42,24,21,6,5.811742987
0,18,19,136,47,36,74,226,23,68,6,80,42,47,30,36,6.16272115
0,53,38,204,40,32,142,153,113,23,6,108,17,0,17,41,4.904279397
8,35,28,0,25,40,62,208,136,79,0,118,28,29,17,6,7.529860383
0,18,38,159,25,32,119,135,136,11,0,118,24,6,5,6,6.584535792
0,47,47,113,28,28,51,244,159,11,0,80,14,6,42,51,6.378730667
0,41,9,181,25,32,119,135,45,0,0,108,17,47,30,31,5.430223624
8,29,57,68,21,43,130,226,181,0,0,127,28,35,42,41,5.44768683
0,24,9,45,40,28,51,208,136,102,0,80,21,12,13,36,6.349955485
8,24,9,45,36,47,130,99,45,57,0,89,10,47,13,6,7.235224733
0,35,28,45,36,51,85,190,136,45,6,118,21,47,17,16,6.794997787
8,53,57,68,40,32,74,244,45,45,6,80,10,35,26,16,5.893206652
0,18,9,0,40,25,96,226,45,34,0,118,28,18,17,51,7.308208704
8,24,9,0,43,47,85,208,91,23,0,127,14,18,9,31,8.219996657
0,24,9,204,47,43,108,135,0,57,6,118,38,6,34,16,5.626245423
0,18,47,23,36,47,153,190,181,45,0,118,21,6,21,26,6.053903871
8,53,47,0,21,51,96,244,68,102,0,80,42,18,21,36,5.725181
0,35,57,159,36,28,130,190,45,57,6,89,42,6,30,6,5.545903995
0,29,38,68,47,51,51,153,91,57,0,108,38,53,34,36,7.863143881
8,47,19,68,40,32,119,190,136,45,0,108,42,0,9,16,5.971860106
0,29,28,68,36,25,108,117,204,0,6,108,24,29,26,26,7.615793355
0,35,19,0,51,36,74,99,181,57,0,118,17,6,26,11,11.78626011
0,47,9,68,36,43,153,99,204,102,0,118,42,41,30,36,5.683475695
8,35,0,136,47,28,62,208,45,91,0,118,28,0,17,11,6.270800713
0,18,28,204,40,36,119,190,91,23,0,80,31,12,34,51,5.534883884
0,53,57,0,36,47,96,190,136,0,6,127,14,6,38,51,8.584384538
0,24,19,23,51,47,74,190,45,45,6,108,31,29,42,11,8.207230296
8,18,28,91,36,32,153,135,91,34,0,89,35,29,9,6,5.839304411
0,24,9,204,21,25,62,172,159,68,0,118,28,6,34,51,5.487745509
0,29,47,181,47,32,51,99,68,23,0,127,24,41,9,46,7.344583318
0,18,28,181,32,17,51,226,91,0,0,108,24,53,42,26,6.517754845
0,41,0,23,51,21,108,208,68,23,6,127,21,29,42,21,7.434712997
0,29,0,159,47,21,96,190,136,102,0,80,14,12,38,41,5.641710372
0,53,9,0,40,47,130,135,23,68,0,127,38,29,38,46,7.849185875
0,41,47,136,21,51,51,99,0,45,0,89,17,24,42,41,7.300662093
0,41,38,68,43,51,108,81,136,34,6,80,17,12,21,26,7.771502943
0,53,0,68,43,36,142,190,45,68,0,80,31,0,42,41,5.186086927
8,29,0,45,17,21,85,172,136,57,0,99,28,47,26,21,7.175186659
8,41,38,136,51,51,153,208,136,23,0,70,28,29,13,11,4.400009302
0,41,57,91,28,36,153,135,68,11,6,127,28,47,34,16,6.527872764
0,53,28,113,21,43,119,153,91,34,0,108,10,41,13,51,6.602970457
8,29,19,23,25,47,85,153,113,57,0,108,35,53,13,16,8.083893541
8,29,38,0,32,40,119,172,204,45,0,108,42,41,26,46,7.05084342
8,24,57,181,36,40,62,244,113,0,0,89,28,6,26,26,5.363164336
0,41,0,159,40,51,119,172,68,11,6,118,28,6,38,41,5.76222435
8,41,9,91,36,40,130,99,204,0,6,118,10,47,9,6,5.815742196
0,18,38,204,21,32,51,153,91,23,6,118,38,53,38,21,6.262700639
0,47,19,68,40,25,62,117,136,45,6,127,38,47,34,26,8.018946038
8,41,47,45,47,25,74,190,159,23,0,118,17,47,26,16,6.894607483
8,29,47,0,47,51,153,99,159,79,6,89,10,24,5,16,6.218821617
0,47,57,91,17,21,74,244,23,45,0,118,24,29,13,31,7.06271049
8,53,28,113,47,51,108,81,0,91,6,127,24,35,5,26,6.986136267
8,47,0,23,25,21,153,190,159,45,6,89,24,0,21,11,5.814948027
8,29,47,113,43,28,119,81,159,79,0,89,38,24,42,16,6.753621433
0,41,47,181,32,21,85,135,45,68,0,118,31,29,5,31,7.024677959
0,24,57,136,43,36,62,208,204,34,0,108,42,12,34,11,5.344567853
8,47,47,159,51,40,62,81,23,79,6,89,31,0,34,26,6.957415311
8,24,19,45,28,32,62,153,0,57,6,118,17,6,38,11,7.898735046
8,29,0,0,43,17,62,244,204,79,6,127,35,12,30,31,6.906819368
