(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
13.401091,7.37505,5.93103,-3.929534,1.375065,-1.6709859,0.87711483,-0.7791561,1.877686,-1.5690533,25.08945,8.941413,-5.7481103,-6.6333857,-2.8070168,-0.8311692
14.214215,7.6852436,8.905381,5.755316,1.0361835,-0.75963277,6.6957917,0.25739297,3.2686186,-2.8784077,23.154148,16.326254,0.28937995,-9.345067,-1.4549613,0.9280567
15.468502,4.955921,9.34047,-2.9010959,-1.2693466,-3.5200696,3.3287735,13.390716,1.495166,-0.67273283,25.477293,17.225163,2.7017455,2.5386844,3.5049827,-0.6024398
14.968399,8.527471,9.207256,3.6079292,-0.24587916,2.6736982,-1.5205827,22.325218,4.062477,-0.13137203,25.4376,20.757835,0.9470811,6.6406555,-0.015202642,0.7593325
13.319732,4.7898855,7.637664,-3.2644515,2.485515,0.22299848,0.38532108,-1.1860915,1.4832562,-4.517622,22.665302,-6.9048395,-2.96255,4.962136,3.554236,4.9706774
13.083788,2.8710124,5.551458,-3.3202543,0.8878571,-0.6619426,-0.85615754,-0.08440722,-3.4940264,-3.6589122,24.73329,11.146175,0.22327001,-9.262837,-0.060381062,-0.020001119
13.087129,3.351014,5.5500197,4.7323003,0.21688415,-1.8124654,4.1622477,1.7492352,0.6647103,-4.8724475,21.49265,-4.5151997,0.16672496,3.7447925,-0.3485228,-5.9702744
13.512135,-5.4430575,10.4063,-0.7418654,3.1151366,0.5905983,-1.2476175,-7.4914637,3.1957893,1.9135767,21.36231,10.030688,-1.2425263,4.434895,0.28910252,1.5733907
14.382704,-11.989548,8.988062,-4.6091447,1.0515572,1.3102857,4.7889066,-8.627005,1.0597653,-3.4420104,20.931355,14.239364,-1.9769491,7.115713,0.3871877,3.6188455
12.726529,-59.939423,6.520749,-6.5991464,-2.9508502,-0.67791396,-3.5270817,-2.1244729,0.19347562,-1.5581872,19.167526,8.610049,-2.1369808,3.1190946,2.3609557,-1.3750001
13.778595,5.0716524,9.104268,2.4572628,-0.41033316,0.22547342,-2.3021193,18.229845,2.4410596,-1.8341928,24.479456,11.891985,1.2835904,5.4379673,0.056467056,0.5592628
13.673695,-56.935097,3.8574634,-7.531481,2.0794857,1.6425014,3.9995568,9.486162,-2.2355616,-4.2113705,20.476934,7.965829,1.2955087,7.590244,0.4010931,1.9768519
12.410048,-38.282803,8.607528,4.939134,2.312969,1.0246524,0.27561113,-6.343189,-1.2344823,-3.0925536,21.554258,14.512206,2.0479028,3.231952,-1.4825101,-3.5298827
15.409257,4.585394,12.096322,-5.076756,-3.1630926,1.5679549,3.461352,2.3925135,0.82683414,-0.4026819,23.808144,16.435532,-0.7173464,4.5060425,0.60754377,3.5718188
16.165195,6.3047714,0.80893916,1.7213764,4.749635,1.6382099,3.2963834,14.060342,-3.63333,1.7355002,26.778976,11.220234,0.6748117,2.0182848,1.0983925,0.756753
12.544812,-48.143936,4.02517,-5.0968237,3.0351546,-1.0604792,-3.1466248,-8.314832,1.2786502,-0.8514105,17.81373,7.710931,-1.2393103,6.3219786,-0.4111946,3.8155725
12.638887,3.9709437,7.373267,-7.5101924,-3.5955138,-1.0619799,-2.4764721,-2.6625519,1.5857184,-1.0888729,22.88173,-5.4627233,-4.6855087,3.4513297,-1.3349576,-0.72445786
14.278676,5.982039,7.548486,-2.6786067,-0.13753983,0.023335617,2.8498971,4.5229816,2.5851402,0.033647485,24.700062,12.992181,-0.22012797,7.2194524,1.4080503,1.5118712
13.485654,4.2259912,9.1886,1.1454293,1.7785563,2.1494138,10.81054,6.002576,-1.4343407,2.7863352,24.031149,-1.6626726,1.3119239,5.927154,0.65361935,0.8630474
13.480819,5.0607233,4.0691757,1.446384,0.63499117,1.7523298,-3.460455,-1.0237682,1.6993455,-0.6248637,23.874975,17.061218,-0.40037978,-6.56285,-1.5292169,-0.22789453
